epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75882,3.32033,3.70323,4.22113,0.00625,0.40157,0.00452,0.00192,2.81167,3.60605,4.15873,6e-05,6e-05,6e-05
2,4.84041,3.27966,3.69611,4.22088,0.00634,0.40157,0.0049,0.00199,2.81106,3.60178,4.15821,0.00013307,0.00013307,0.00013307
3,7.85451,3.21676,3.66226,4.1889,0.00623,0.3937,0.00472,0.00196,2.80941,3.59779,4.15614,0.00019822,0.00019822,0.00019822
4,10.7402,3.20805,3.54406,4.15187,0.00631,0.39764,0.00491,0.00202,2.80559,3.59428,4.15288,0.00025545,0.00025545,0.00025545
5,12.7032,3.30826,3.35581,4.11157,0.00639,0.40157,0.00559,0.00262,2.80498,3.59141,4.15013,0.00030476,0.00030476,0.00030476
6,15.1639,3.27159,3.12121,4.07512,0.00645,0.40551,0.00565,0.00269,2.80259,3.58994,4.14603,0.00034615,0.00034615,0.00034615
7,17.3475,3.24393,2.8689,4.04418,0.00645,0.40551,0.00575,0.00222,2.79988,3.59623,4.14189,0.00037962,0.00037962,0.00037962
8,19.4483,3.20656,2.92055,3.97382,0.00658,0.41339,0.00665,0.00224,2.79522,3.61187,4.13921,0.00040517,0.00040517,0.00040517
9,22.1432,3.15886,2.82547,3.90911,0.00668,0.41732,0.0071,0.00238,2.79356,3.62953,4.13911,0.0004228,0.0004228,0.0004228
10,25.0674,3.18512,2.75184,3.80408,0.00657,0.41339,0.0067,0.00246,2.79147,3.63965,4.13819,0.00043251,0.00043251,0.00043251
11,29.6048,2.90036,3.0761,3.76873,0.0066,0.41339,0.00876,0.00295,2.79194,3.65251,4.14345,0.0004343,0.0004343,0.0004343
12,32.3933,2.90067,2.99913,3.70112,0.00657,0.42126,0.00863,0.00304,2.79394,3.66946,4.15456,0.00042817,0.00042817,0.00042817
13,34.3343,2.67966,2.90071,3.60336,0.00656,0.41732,0.00924,0.00359,2.79647,3.65559,4.15529,0.00041412,0.00041412,0.00041412
14,37.7724,2.80265,2.9219,3.58541,0.00659,0.41732,0.00848,0.00279,2.79641,3.64417,4.15172,0.00039215,0.00039215,0.00039215
15,40.4071,2.79035,2.91235,3.53094,0.00658,0.41732,0.00851,0.00293,2.79218,3.62835,4.14083,0.00036226,0.00036226,0.00036226
16,42.725,2.66514,2.80923,3.47887,0.00659,0.41732,0.0091,0.00312,2.78972,3.62352,4.13719,0.00032445,0.00032445,0.00032445
17,44.7252,2.69466,2.82695,3.51418,0.00666,0.42126,0.01039,0.00382,2.78618,3.5909,4.13204,0.00027872,0.00027872,0.00027872
18,46.7031,2.74426,2.85603,3.49706,0.00658,0.41732,0.01058,0.00356,2.7793,3.5643,4.11203,0.00022507,0.00022507,0.00022507
19,48.7601,2.66618,2.84989,3.47364,0.00664,0.42126,0.01188,0.00436,2.77648,3.54167,4.09709,0.0001635,0.0001635,0.0001635
20,52.054,2.76299,2.86609,3.47485,0.00722,0.46457,0.01312,0.00501,2.77417,3.52069,4.08184,9.401e-05,9.401e-05,9.401e-05
