epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.75348,3.32033,3.70323,4.22113,0.00625,0.40157,0.00452,0.00192,2.81167,3.60605,4.15873,6e-05,6e-05,6e-05
2,5.15419,3.27905,3.69558,4.2211,0.00609,0.3937,0.0048,0.00197,2.81111,3.60179,4.1582,0.000138614,0.000138614,0.000138614
3,8.59284,3.21471,3.6576,4.18767,0.00608,0.38976,0.00464,0.00201,2.80941,3.59785,4.15611,0.000215644,0.000215644,0.000215644
4,10.9432,3.21727,3.52224,4.15396,0.00608,0.38976,0.0047,0.002,2.80561,3.5945,4.15248,0.00029109,0.00029109,0.00029109
5,13.0646,3.31425,3.27757,4.10549,0.00623,0.39764,0.00459,0.00198,2.80497,3.5901,4.149,0.000364952,0.000364952,0.000364952
6,15.6105,3.25553,3.01651,4.05168,0.00632,0.40551,0.00492,0.00202,2.80181,3.59312,4.14449,0.00043723,0.00043723,0.00043723
7,17.6287,3.21677,2.86637,4.01304,0.00637,0.40945,0.00587,0.00209,2.79874,3.60204,4.14094,0.000507924,0.000507924,0.000507924
8,19.8559,3.17697,2.87223,3.91902,0.00638,0.40157,0.00653,0.0023,2.79629,3.62297,4.14101,0.000577034,0.000577034,0.000577034
9,23.1339,3.16002,2.7704,3.84432,0.00651,0.40945,0.00689,0.00231,2.79814,3.64189,4.14421,0.00064456,0.00064456,0.00064456
10,25.3817,3.15921,2.70727,3.71359,0.00653,0.41339,0.00809,0.00273,2.79602,3.65516,4.14616,0.000710502,0.000710502,0.000710502
11,27.5014,3.10856,2.74698,3.70965,0.00662,0.41732,0.00779,0.00259,2.79757,3.67704,4.15365,0.00077486,0.00077486,0.00077486
12,29.6153,3.03538,2.71041,3.64749,0.00661,0.42126,0.00861,0.00292,2.80081,3.64449,4.15885,0.000837634,0.000837634,0.000837634
13,31.6645,2.98444,2.55013,3.54086,0.00651,0.41339,0.00852,0.00282,2.80529,3.6484,4.16479,0.000898824,0.000898824,0.000898824
14,33.5026,3.01094,2.73666,3.59058,0.0066,0.41732,0.00855,0.003,2.80414,3.6691,4.16399,0.00095843,0.00095843,0.00095843
